Timestamp(s),yaw(deg),pitch(deg),roll(deg),vx(m_s),vy(m_s),vz(m_s),ax(m_s2),ay(m_s2),az(m_s2),motor1.strength,motor2.strength,motor3.strength,motor4.strength
0.000,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
0.505,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
1.008,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
1.519,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
2.025,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
2.530,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
3.296,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
3.799,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
4.303,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
4.804,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
5.305,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
5.816,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
6.319,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
6.820,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
7.332,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
7.834,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
8.338,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
8.877,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
9.537,270.000,293.848,270.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
