,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
0,1690899086.4347854,530005,1690899086,434588432,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005997709929943,-0.007360185496509,-0.0050331279635429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1128175631165504,0.0306615252047777,0.9760754108428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1690899086.440637,530006,1690899086,440245867,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123892948031425,-0.0094907144084572,-0.0103594437241554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0993898287415504,0.0255345720797777,0.9855968952178956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1690899086.4447656,530007,1690899086,444532156,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113240331411361,-0.0105559788644313,-0.0114247128367424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0886476412415504,0.0213841814547777,0.9946300983428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1690899086.450967,530008,1690899086,450156450,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113240331411361,-0.0030991276726126,-0.0082289204001426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0991456881165504,0.0248021502047777,0.9973156452178956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1690899086.4547546,530009,1690899086,454552650,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070629753172397,0.004357723519206,-0.0039678588509559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1125734224915504,0.0296849627047777,1.0039074420928955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1690899086.460584,530010,1690899086,460323334,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067138671875,0.0011619310826063,-0.0071636512875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1235597506165504,0.0291966814547777,0.9917004108428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1690899086.4647236,530011,1690899086,464534283,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067138671875,0.0022271946072578,-0.0071636512875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125757023692131,0.0311498064547777,0.9672863483428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1690899086.470538,530012,1690899086,470208168,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091935023665428,0.0011619310826063,-0.0071636512875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1130617037415504,0.0306615252047777,0.9724133014678956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1690899086.474707,530013,1690899086,474489450,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145198255777359,-0.007360185496509,-0.0082289204001426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0949952974915504,0.0255345720797777,0.9821789264678956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1690899086.4805892,530014,1690899086,480247498,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113240331411361,-0.0116212433204054,-0.009294182062149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0932863131165504,0.0260228533297777,0.9921886920928956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1690899086.4847014,530015,1690899086,484475613,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081282369792461,-0.0105559788644313,-0.0060983896255493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0976808443665504,0.0279759783297777,1.0004894733428955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1690899086.4906063,530016,1690899086,490318775,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038671791553497,-0.0116212433204054,-0.0060983896255493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1120851412415504,0.0287084002047777,1.0053722858428955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1690899086.4977124,530017,1690899086,494601488,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003938786685466,-0.0094907144084572,-0.0071636512875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1230714693665504,0.0326146520674228,0.9924328327178956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1690899086.5007043,530018,1690899086,500270128,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028019174933433,-0.0020338632166385,-0.0071636512875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1184327974915504,0.0340794958174228,0.9702160358428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1690899086.5047886,530019,1690899086,504495382,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091935023665428,0.0032924599945545,-0.0050331279635429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1057374849915504,0.0284642595797777,0.9768078327178956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1690899086.51038,530020,1690899086,510191917,livox_frame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134545601904392,0.004357723519206,-0.009294182062149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0923097506165504,0.0265111345797777,0.9870617389678956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
