Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1690899086.439581,16978,1690899086,439488080,world,3.5740041732788086,3.724355697631836,0.2853860557079315,-0.0027486179023981094,-0.02214413695037365,0.022727089002728462,-0.9994927048683167
1690899086.439593,16979,1690899086,439500682,world,3.573789119720459,3.7244203090667725,0.2854350805282593,-0.0015120700700208545,-0.018856441602110863,0.022245561704039574,-0.9995735883712769
1690899086.439614,16980,1690899086,439518721,world,3.5738160610198975,3.7244327068328857,0.28543415665626526,-0.0015608790563419461,-0.019365206360816956,0.022295862436294556,-0.9995626211166382
1690899086.43962,16984,1690899086,439535135,world,3.5738723278045654,3.7244713306427,0.2854536473751068,-0.0015082282479852438,-0.019578712061047554,0.022435924038290977,-0.9995555281639099
1690899086.450956,16985,1690899086,449491345,world,3.573890447616577,3.7245001792907715,0.28545206785202026,-0.0015696127666160464,-0.019777411594986916,0.022308383136987686,-0.9995542764663696
1690899086.4595964,16986,1690899086,459495883,world,3.5738909244537354,3.7245230674743652,0.2854630947113037,-0.0014349422417581081,-0.019756224006414413,0.0220642052590847,-0.9995602965354919
1690899086.5695446,16987,1690899086,569483243,world,3.573808431625366,3.7245681285858154,0.28549453616142273,-0.0010095159523189068,-0.0180854182690382,0.022151192650198936,-0.9995905160903931
1690899086.5695543,16988,1690899086,569495021,world,3.5736258029937744,3.7245938777923584,0.28558778762817383,-0.00047682621516287327,-0.015572993084788322,0.021827993914484978,-0.9996404051780701
1690899086.5695946,16989,1690899086,569508598,world,3.573601245880127,3.7246150970458984,0.28558894991874695,-0.00042534631211310625,-0.015149487182497978,0.02170986495912075,-0.9996494650840759
1690899086.5696003,16995,1690899086,569534362,world,3.5735602378845215,3.7246174812316895,0.2855595648288727,-0.0005116940010339022,-0.015221191570162773,0.02187921851873398,-0.9996446967124939
1690899086.5696325,16996,1690899086,569544834,world,3.5738697052001953,3.7245607376098633,0.28548797965049744,-0.001348632387816906,-0.019405927509069443,0.022324398159980774,-0.9995615482330322
1690899086.5696383,16997,1690899086,569549802,world,3.5738632678985596,3.7245678901672363,0.28548556566238403,-0.0013177754590287805,-0.01922472007572651,0.022295288741588593,-0.9995657801628113
1690899086.5795565,16998,1690899086,579491903,world,3.5739526748657227,3.724529266357422,0.28548893332481384,-0.0017973358044400811,-0.020512297749519348,0.022510340437293053,-0.9995346069335938
1690899086.6095219,16999,1690899086,609459575,world,3.573918342590332,3.7245523929595947,0.28548580408096313,-0.001581536722369492,-0.02007198892533779,0.022171350196003914,-0.9995514750480652
1690899086.609529,17000,1690899086,609471239,world,3.5739378929138184,3.7245492935180664,0.2854940891265869,-0.0014762103091925383,-0.020071739330887794,0.022344745695590973,-0.9995478391647339
1690899086.6095595,17001,1690899086,609483052,world,3.5735435485839844,3.7246510982513428,0.2856192886829376,-0.0003939914458896965,-0.014384862966835499,0.02188238687813282,-0.9996570348739624
1690899086.6195734,17002,1690899086,619493882,world,3.5731375217437744,3.7246713638305664,0.28574874997138977,-0.00034578912891447544,-0.010576637461781502,0.02169073559343815,-0.9997087121009827
1690899086.6295166,17003,1690899086,629457977,world,3.5731253623962402,3.724660873413086,0.28573983907699585,-0.0004529939033091068,-0.01025648508220911,0.021726658567786217,-0.9997113347053528
1690899086.6895602,17004,1690899086,689487356,world,3.5731935501098633,3.724658489227295,0.2857322096824646,-0.00036368027213029563,-0.010864215902984142,0.021666401997208595,-0.9997062087059021
1690899086.6895645,17005,1690899086,689499134,world,3.5735676288604736,3.7246365547180176,0.2855905294418335,-0.0005521991988644004,-0.015110060572624207,0.021687863394618034,-0.9996505379676819
1690899086.6895673,17006,1690899086,689514319,world,3.573486566543579,3.724660634994507,0.2856305241584778,-0.00024054787354543805,-0.01381252333521843,0.02185000851750374,-0.9996658563613892
1690899086.6895757,17009,1690899086,689528754,world,3.57399845123291,3.7245678901672363,0.2854527235031128,-0.0017140756826847792,-0.020862599834799767,0.02225445583462715,-0.9995331764221191
1690899086.699559,17010,1690899086,699486704,world,3.5737690925598145,3.724628210067749,0.2855386734008789,-0.0007835611468181014,-0.017360560595989227,0.02198101207613945,-0.9996073246002197
1690899086.7095482,17011,1690899086,709489946,world,3.573683977127075,3.724651575088501,0.28556203842163086,-0.0006066737696528435,-0.01607872173190117,0.021790340542793274,-0.9996331334114075
1690899086.7195776,17012,1690899086,719494651,world,3.573512554168701,3.724660634994507,0.2856470048427582,-0.0004612401535268873,-0.013974924571812153,0.021685853600502014,-0.9996671080589294
1690899086.729541,17013,1690899086,729481108,world,3.5737497806549072,3.7246179580688477,0.28553158044815063,-0.0008039430249482393,-0.016981031745672226,0.021867206320166588,-0.9996163249015808
1690899086.7395608,17014,1690899086,739484871,world,3.57361102104187,3.724660873413086,0.2855936288833618,-0.0004909174749627709,-0.015301303006708622,0.021753039211034775,-0.9996462464332581
1690899086.7496202,17015,1690899086,749489641,world,3.5735840797424316,3.7246856689453125,0.28559747338294983,-0.00041295523988083005,-0.014967878349125385,0.021813690662384033,-0.9996500015258789
1690899086.759556,17016,1690899086,759489355,world,3.5737721920013428,3.7246501445770264,0.2855532467365265,-0.0006860647699795663,-0.01725541241466999,0.021768586710095406,-0.999613881111145
1690899086.7695231,17017,1690899086,769471829,world,3.5735466480255127,3.7246944904327393,0.285643607378006,-0.00033756709308363497,-0.013869413174688816,0.021660106256604195,-0.9996691942214966
